Column,lat,lng,label_place_of_publication,20,city,country,language,dates_of_reprints,date,time,date 3,cartodb_id,translator_s,title,publisher,number_of_printings_and_or_editions,sales_figures_if_known,link_to_cover,link_to_sound_file_of_title,notes,source__w__worldcat__it__index_translationum,X_column,Column 23
383,-33.8888702,18.53310254,Cape Town,Cape Town,Cape Town,South Africa,Afrikaans,2013,2005,01/01/2005 00:00,,383,Antoinette Stimie,Jane Eyre,Oxford University Press Southern Africa,2,NA,https://www.dropbox.com/s/yaicd530tyqlxro/Stimie%202005.gif?dl=0,,Abridged; 'juvenile audience',WorldCat,NA,
2,41.33463885,19.8136373,Tirana,Tirana,Tirana,Albania,Albanian,0,2003,01/01/2003 00:00,,2,Dritan Koka,Xhein Airi / Jane Eyre,Unknown,1,NA,,,,IT,NA,
1,41.33463885,19.8136373,Tirana,Tirana,Tirana,Albania,Albanian,0,2014,01/01/2014 00:00,,1,Alina Karaulli,Xhein Airi / Jane Eyre,Pegi,1,NA,https://www.dropbox.com/s/268dxy6v9pu0evi/2014%20Karaulli.jpg?dl=0,,,COBISS,NA,
85,9.001336511,38.75941009,Addis Ababa,Addis Ababa,Addis Ababa,Ethiopia,Amharic,0,1981,01/01/1981 00:00,,85,Unknown,Žénʻéyer / Jane Eyre,Bolé Mātamiya Bét,1,NA,,,,WorldCat,NA,
80,30.05868416,31.3052596,Cairo,Cairo,Cairo,Egypt,Arabic,0,1956,01/01/1956 00:00,,77,Ismāʻīl Kāmil,Jane Eyre / جین ایر  ,Kitābī Series,1,NA,,,,,NA,
78,30.05868416,31.3052596,Cairo,Cairo,Cairo,Egypt,Arabic,0,1965,01/01/1965 00:00,,80,Nūr al-Dimirdāsh, جین ایر  / Jane Eyre,Egyptian Radio Station,1,NA,,,,,NA,
274,33.8892801,35.49594395,Beirut,Beirut,Beirut,Lebanon,Arabic,2001,1984,01/01/1984 00:00,,274,Unnamed group of translators,"Jane Eyre, or Story of an Orphan / جين إيْر أو قصَّة يتيمة",Al-Mʿārif Press,2,NA,,,,,NA,
275,33.8892801,35.49594395,Beirut,Beirut,Beirut,Lebanon,Arabic,2006,1985,01/01/1985 00:00,,275,Munīr al-Baʿalbakī,Jane Eyre / جین اییر,Dār Al-ʿIlm Lil-Malāyīn,20,NA,,,Also republished in Casablanca in 2006,,NA,
76,30.05868416,31.3052596,Cairo,Cairo,Cairo,Egypt,Arabic,"1996, 2007",1993,01/01/1993 00:00,,81,Nabīl Rāghib ,Jane Eyre /جین ایر,Dār al-Hilāl,1,NA,,,Bilingual edition; later editions are with Al-Gharīb Publishing House,,NA,
,30.05868416,31.3052596,Cairo,Cairo,Cairo,Egypt,Arabic,2007,1999,01/01/1999 00:00,,,Unknown,Jane Eyre /جین ایر,Dār Wa Maktabat Al-Hilāl,,,,,Abridged; bilingual edition; published simultaneously in Damascus,,,
491,33.52228228,36.33354912,Damascus,Damascus,Damascus,Syria,Arabic,2007,1999,01/01/1999 00:00,,491,Unknown,Jane Eyre /جین ایر,Dār al-Biḥār ,1,NA,,,Abridged; bilingual edition; published simultaneously in Cairo,,NA,
81,30.05868416,31.3052596,Cairo,Cairo,Cairo,Egypt,Arabic,0,2004,01/01/2004 00:00,,79,Ṣabrī al-Faḍl,Jane Eyre /جین ایر,Al Usra Press,1,NA,,,Juvenile Edition,,NA,
271,31.9476713,35.93828928,Amman,"Al-Hussein Street, Building 12, Amman, Jordan",Amman,Jordan,Arabic,0,2005,01/01/2005 00:00,,271,Samīr Izzat Naṣṣār,Jane Eyre /جین ایر,Al-Ahliyya Press,1,NA,,,,,NA,
,33.589886,-7.603869,Casablanca,Casablanca,Casablanca,Morocco,Arabic,0,2006,01/01/2006 00:00,,,Munīr al-Baʿalbakī,Jane Eyre /جین اییر,Al-Markaz al-Thaqāfī Al-ʿArabī ,20,,,,"Edition in memory of translator Munīr al-Baʿalbakī (1919-1999), published simultaneously in Beirut. Al-Baʿalbakī's translation was originally published in Beirut in 1985 ",,,
,33.8892801,35.49594395,Beirut,Beirut,Beirut,Lebanon,Arabic,0,2008,01/01/2008 00:00,,,Unnamed group of translators,Jane Eyre /جین ایر,Dār Maktabat Al Maʿārif,,,,,,,,
276,33.8892801,35.49594395,Beirut,Beirut,Beirut,Lebanon,Arabic,0,2010,01/01/2010 00:00,,276,Riḥāb ʿakāwī,Jane Eyre /جین ایر,Dār Al-Ḥarf al-ʿArabī,1,NA,,,,,NA,
77,30.05868416,31.3052596,"Cairo and Alexandria, Egypt",Cairo,Cairo,Egypt,Arabic,0,2012,01/01/2012 00:00,,82,Ḥilmī Murād,Jane Eyre /جین ایر,Modern Arab Foundation,1,NA,,,,,NA,
272,29.36692108,47.97772445,Kuwait City,Kuwait City,Kuwait City,Kuwait,Arabic,0,2013,01/01/2013 00:00,,272,Amal al-Rifāʿī,Story of Jane Eyre /قصة جين اير,Dār Nāshirī Lil Nashr al-Ilikitrūni ,1,NA,,,Electronic version,,NA,
82,30.00118439,31.17600085,Giza,"39 Khatem Al Morsaleen St. Omranya, Giza, Egypt",Giza,Egypt,Arabic,0,2016,01/01/2016 00:00,,75,Unknown,Jane Eyre /جین ایر,Bayt al-Lughāt al-Duwaliyya,1,NA,,,"Bilingual edition, used to teach English",,NA,
542,25.206618,55.27208,Dubai,Dubai,Dubai,United Arab Emirates,Arabic,0,2016,01/01/2016 00:00,,542,Unknown,Jane Eyre /جین ایر,Dār Al Hudhud For Publishing and Distribution,1,NA,,,Translation of a 're-telling' for children by Gill Tavner (2009),,NA,
490,36.21030661,37.15125927,Aleppo,Aleppo,Aleppo,Syria,Arabic,0,2017,01/01/2017 00:00,,490,Aḥmad Nabīl al-Anṣārī,Jane Eyre /جین ایر,Dār al-Nahj; Dār al-Firdaws,1,NA,,,Abridged,,NA,
75,30.05868416,31.3052596,Cairo,"6b, Gawad Hosni Street, Abdeen, Cairo, Egypt, 22613",Cairo,Egypt,Arabic,0,2017,01/01/2017 00:00,,76,Unknown,Jane Eyre /جین ایر,Dār al-Alif Publishing House for Printing and Distribution,1,NA,,,,,NA,
270,31.9476713,35.93828928,Amman,"Al-Hussein Street, Building 12, Amman, Jordan",Amman,Jordan,Arabic,0,2017,01/01/2017 00:00,,270,Yūsif ʿAṭā al-Ṭarīfī,Jane Eyre /جین ایر,Al-Ahliyya Press,1,NA,,,,,NA,
12,40.16412607,44.49978021,K. Polis,Erevan,Erevan,Armenia,Armenian,0,1908,01/01/1908 00:00,,12,Marinos H Stampōlluean,Chēyn Ēyr,Tpagrutʻiwn H. Mattʻēosean,1,NA,,,,WorldCat,NA,
11,40.17501387,44.51607051,Erevan,Erevan,Erevan,Armenia,Armenian,0,1988,01/01/1988 00:00,,11,Aram Bowdaġyan,Jeyn Ēyr ,Sovetakan groġ ,1,NA,,,,WorldCat,NA,
167,26.1533814,91.73536517,Guwahati,Guwahati,Kamrup Metropolitan,India,Assamese,0,1999,01/01/1999 00:00,,164,Subhadra Baruwa,জেন আয়ার / Jane Eyre,Pūrbāñcal Prakāś,1,NA,,,Abridged,IT,NA,
,40.38003241,49.84563233,Baku,Baku,Baku,Azerbaijani,Azeri,0,2013,01/01/2013 00:00,,,Nadir Bədəlov,Ceyn Eyr,"Qanun, ‘Äli vä Nino’",,,,,"Translated from Russian (probably one of the Stanevich, Stanevich-Gurova or Gurova translations). Source: Jay Dillon Rare Books + Manuscripts",,,
449,43.30873226,-1.974045919,Donostia-San Sebastián,San Sebastián,Guipúzcoa,Spain,Basque,2011,1998,01/01/1998 00:00,,411,Iñaki Mendiguren,Jane Eyre,Elkarlanean ,2,NA,https://www.dropbox.com/s/dgycs7iqq051n0t/1998%20Mendiguren.jpg?dl=0,,Possibly abridged,IT,NA,
,22.55024829,88.3667523,Kolkata,Kolkata,Kolkata,India,Bengali,0,1914,01/01/1914 00:00,,,Nirmmalā Bālā Soma,Saralā,Nirmmalā Bālā Soma,,,,,,,,
17,23.80019089,90.40152705,Dhaka,Dhaka,Dhaka,Bangladesh,Bengali,0,1977,01/01/1977 00:00,,17,Suraiya Akhtar Begum,জেন আয়ার / Jane Eyre,Muktadhārā ,1,NA,,,Abridged,IT,NA,
16,23.80019089,90.40152705,Dhaka,Dhaka,Dhaka,Bangladesh,Bengali,0,1990,01/01/1990 00:00,,16,Kabir Chaudhuri,জেন আয়ার / Jane Eyre,Muktadhārā ,1,NA,,,Abridged,WorldCat,NA,
,22.55024829,88.3667523,Kolkata,Kolkata,Kolkata,India,Bengali,0,1991,01/01/1991 00:00,,,Sudhīndranāth Rāhā,জেন আয়ার / Jane Eyre,Dēv Sāhitya Kuṭār,,,,,Abridged,,,
18,23.80019089,90.40152705,Dhaka,Dhaka,Dhaka,Bangladesh,Bengali,0,2006,01/01/2006 00:00,,18,Qazi Shahnoor Husain,"কিশোর ক্লাসিক জেন আয়ার লিটল উইমেন ভ্যানিটি ফেয়ার / Teenager Classics: Jane Eyre, Little Women, Vanity Fair",Sebā Prakāśanī,1,NA,,,Abridged,WorldCat,NA,
,23.80019089,90.40152705,Dhaka,Dhaka,Dhaka,Bangladesh,Bengali,0,2010,01/01/2010 00:00,,,Dhrub Nīl (ধ্রুব নীল),শার্লট ব্রন্টি জেন আয়ার / Śārlaṭ Branṭi: Jen Āẏār / Charlotte Brontë: Jane Eyre ,Pāñjērī Pāblikēśans ,,,,,Abridged and illustrated: 'Teenage Classics Series',,,
,23.80019089,90.40152705,Dhaka,Dhaka,Dhaka,Bangladesh,Bengali,0,2011,01/01/2011 00:00,,,Khurram Hosahim (খুররম হোসাইন),শার্লট ব্রন্টি জেন আয়ার / Charlotte Brontë: Jane Eyre,Phrēnḍs Buk Karṇār,,,,,Abridged,,,
,23.80019089,90.40152705,Dhaka,Dhaka,Dhaka,Bangladesh,Bengali,0,2018,01/01/2018 00:00,,,Muhaq Zakir (মুহঃ জাকির হোসেন),শার্লট ব্রন্টি পাঠকননদিতা ও শিল্পোত্তীর্ণা উপন্যাস জেন আয়ার / Charlotte Brontë's Delightful and Artistic Novel: Jane Eyre,Biśbasāhitya Bhaban,1,,,,"Abridged, edition for teenagers",,,
,23.80019089,90.40152705,Dhaka,Dhaka,Dhaka,Bangladesh,Bengali,0,2019,01/01/2019 00:00,,,Sālēhā Chowdhury (সালেহা চৌধুরী),শার্লট ব্রন্টি জেন আয়ার / Charlotte Brontë: Jane Eyre,Uttaran,1,,,,Abridged,,,
31,42.71578953,23.32101751,Sofia,Sofia,Sofia,Bulgaria,Bulgarian,1979,1959,01/01/1959 00:00,,30,Hristo K'nev, Джейн Еър / Jane Eyre,Nar. kultura,2,NA,,,,COBISS,NA,
30,42.71578953,23.32101751,Sofia,Sofia,Sofia,Bulgaria,Bulgarian,0,2013,01/01/2013 00:00,,31,"Natalya Georgieva, Dimit'r Tonin & Silvia Serafimova Velikova", Джейн Еър: автобиография / Jane Eyre: An Autobiography,Šambala,1,NA,,,,COBISS,NA,
285,16.8635806,96.18410177,Rangoon,Rangoon,Rangoon,Myanmar,Burmese,0,1953,01/01/1953 00:00,,285,Unknown,Gyain-è-yà / Jane Eyre ,Burma Translation Society,1,NA,,,,WorldCat,NA,
412,41.39146516,2.184223246,Barcelona,Barcelona,Barcelona,Spain,Catalan,"1996, 2010",1992,01/01/1992 00:00,,412,Maria Dolors Ventós,Jane Eyre,Proa,2,NA,,,First Barcelona edition of the translation originally published in Madrid in 1947. 2010 edition is with Labutxaca,,NA,
414,41.39146516,2.184223246,Barcelona,Barcelona,Barcelona,Spain,Catalan,0,2001,01/01/2001 00:00,,414,Jordi Arbonès i Montull,Jane Eyre,Columna,1,NA,,,,IT,NA,
413,41.39146516,2.184223246,Barcelona,Barcelona,Barcelona,Spain,Catalan,0,2010,01/01/2010 00:00,,413,Anna Llisterri,Jane Eyre,Teide,1,NA,https://www.dropbox.com/s/vhfv9hq0edcxmiq/2010_Llisterri.jpg?dl=0,,,WorldCat,NA,
,31.11786557,121.5053555,Shanghai,Shanghai,Shanghai,China,Chinese,0,1925,01/01/1925 00:00,01/01/1925,,Xiaomei Xu (许小美),重光记 / Chong guang ji / Seeing Light Again,Dadong Press,NA,,,,"Later republished in Tainan, Taiwan (1972)",,,
,31.11786557,121.5053555,Shanghai,Shanghai,Shanghai,China,Chinese,1977,1935,01/01/1935 00:00,01/01/1935,,Guangjian Wu (伍光建),孤女飘零记 / Gunv piaolingji / Record of a Wandering Orphan,Commercial Press,,NA,,,Later republished in Jilin (2013),,,
,31.11786557,121.5053555,Shanghai,Shanghai,Shanghai,China,Chinese,1952,1936,01/01/1936 00:00,01/01/1936,,Jiye Li (李霁野),简爱自传 / Jianai zizhuan / Jane Eyre: An Autobiography,Shenghuo Shudian,,NA,,,The 1952 edition is with Wenhua Shenghuo Press. Later republished in Beijing (1982),,,
,25.082902,121.546153,Taipei,Taipei,Taipei,Taiwan,Chinese,0,1954,01/01/1954 00:00,01/01/1954,,Fang Li (李方),简爱 / Jianai / Jane Eyre,Taipei Xinxing Press,,NA,,,,,,
,25.082902,121.546153,Taipei,Taipei,Taipei,Taiwan,Chinese,0,1961,01/01/1961 00:00,01/01/1961,,Wen Li (李文),简爱 / Jianai / Jane Eyre,Taipei Dazhongguo Press,,,,,,,,
,25.082902,121.546153,Taipei,Taipei,Taipei,Taiwan,Chinese,0,1963,01/01/1963 00:00,01/01/1963,,Weitang Lin (林维堂),简爱 / Jianai / Jane Eyre,Taipei Wenhua Press,,,,,,,,
,22.671536,120.336526,Kaohsiung,Kaohsiung,Kaohsiung,Taiwan,Chinese,0,1971,01/01/1971 00:00,01/01/1971,,Zhicheng Zhang (张志成),简爱 / Jianai / Jane Eyre,Gaoxiong Dazhong Press,,,,,,,,
,23.003061,120.217828,Tainan,Tainan,Tainan,Taiwan,Chinese,0,1972,01/01/1972 00:00,01/01/1972,,Xiaomei Xu (许小美),简爱 / Jianai / Jane Eyre,Tainan Xinshiji Press,,,,,First Tainan edition of the translation originally published in Shanghai in 1925,,,
,23.003061,120.217828,Tainan,Tainan,Tainan,Taiwan,Chinese,0,1973,01/01/1973 00:00,01/01/1973,,Ninglan Lin (林宁兰),简爱 / Jianai / Jane Eyre,Tainan Wangjia Press,,,,,,,,
,23.003061,120.217828,Tainan,Tainan,Tainan,Taiwan,Chinese,0,1975,01/01/1975 00:00,01/01/1975,,Mengdai Zhao (赵梦黛),简爱 / Jianai / Jane Eyre,Tainan Biaozhun Press,,,,,,,,
,25.082902,121.546153,Taipei,Taipei,Taipei,Taiwan,Chinese,1984,1975,01/01/1975 00:00,01/01/1975,,Yundai Liu (刘云迨),简爱 / Jianai /Jane Eyre,Taipei Wuzhou Press,,,,,,,,
,25.082902,121.546153,Taipei,Taipei,Taipei,Taiwan,Chinese,0,1975,01/01/1975 00:00,01/01/1975,,Zhong Wen (文仲),简爱 / Jianai / Jane Eyre,Taipei Qingliu Press,,,,,,,,
51,31.11786557,121.5053555,Shanghai,Shanghai,Shanghai,China,Chinese,0,1980,01/01/1980 00:00,,,Qingying Zhu (祝庆英),简爱 / Jianai / Jane Eyre,Shanghai Yiwen Press,,NA,,,,NA,,
36,39.9311509,116.4508123,Beijing,Beijing,Beijing,China,Chinese,0,1982,01/01/1982 00:00,,,Jiye Li (李霁野),简爱自传 / Jianai zizhuan / Jane Eyre: An Autobiography,Shanxi Renmin Press,1,NA,,,First Beijing edition of the translation originally published in Shanghai in 1936,,,
,41.80712599,123.4291147,Shenyang,Shenyang,Shenyang,China,Chinese,0,1983,01/01/1983 00:00,,,Zunyi Li (李遵义）,简爱 / Jianai / Jane Eyre ,Liaoning Meishu Press,,,,,Graphic novel ,,,
,25.082902,121.546153,Taipei,Taipei,Taipei,Taiwan,Chinese,0,1988,01/01/1988 00:00,01/01/1988,,Xuting Liang (梁绪婷),简爱 / Jianai / Jane Eyre,Taipei Zhiwen Press,,,,,,,,
37,39.9311509,116.4508123,Beijing,Beijing,Beijing,China,Chinese,0,1990,01/01/1990 00:00,,37,Junxie Wu (吴钧燮),简爱 / Jianai / Jane Eyre,Renmin Wenxue Press,1,NA,,,Later republished in Taipei (2019),,NA,
42,30.30111495,120.1721433,Hangzhou,Hangzhou,Hangzhou,China,Chinese,0,1991,01/01/1991 00:00,,42,Wen Ling (凌雯),简爱 / Jianai / Jane Eyre,Zhejiang Wenyi Press,1,NA,,,,,NA,
,26.03035038,119.304643,Fuzhou,Fuzhou,Fuzhou,China,Chinese,0,1993,01/01/1993 00:00,,,Derong Li (李德荣),简爱 / Jianai / Jane Eyre,Haixia Wenyi Press,,,,,,,,
49,32.07305852,118.7694646,Nanjing,Nanjing,Nanjing,China,Chinese,0,1994,01/01/1994 00:00,,48,Yuanshen Huang (黄源深),简爱 / Jianai / Jane Eyre,Yilin Press,1,NA,,,,,NA,
,43.83563597,126.5401512,Jilin,Jilin,Jilin,China,Chinese,0,1995,01/01/1995 00:00,,,Hong Liang (梁虹),简爱 / Jianai / Jane Eyre,Shidai Wenyi Press,,,,,,,,
,30.66010341,104.056107,Chengdu,Chengdu,Chengdu,China,Chinese,0,1995,01/01/1995 00:00,,,Naixiu Sun (孙乃修) ,简爱 / Jianai / Jane Eyre,Sichuan Renmin Press,,,,,Abridged,,,
,36.63153103,101.7721818,Xining,Xining,Xining,China,Chinese,0,1995,01/01/1995 00:00,,,Qi Zhao (赵琪),简爱 / Jianai / Jane Eyre,Qinghai Renmin Press,,,,,,,,
,28.18219957,113.0094381,Changsha,Changsha,Changsha,China,Chinese,0,1995,01/01/1995 00:00,,,Shuren Huang (黄淑仁),简爱 / Jianai / Jane Eyre,Hunan Wenyi Press,,,,,,,,
,38.04311937,114.4987776,Shijiazhuang,Shijiazhuang,Shijiazhuang,China,Chinese,0,1996,01/01/1996 00:00,,,Ming Lu (卢铭) ,简爱 / Jianai / Jane Eyre,Hebei University Press,,,,,Abridged,,,
,39.9311509,116.4508123,Beijing,Beijing,Beijing,China,Chinese,0,1996,01/01/1996 00:00,,,Peng'en Li (李彭恩),简爱 / Jianai / Jane Eyre,Beijing Broadcast College Press,,,,,Abridged,,,
,39.9311509,116.4508123,Beijing,Beijing,Beijing,China,Chinese,0,1996,01/01/1996 00:00,,,Shensheng Yang (杨慎生) ,简爱 / Jianai / Jane Eyre,Qinghua University Press,,,,,,,,
,38.04311937,114.4987776,Shijiazhuang,Shijiazhuang,Shijiazhuang,China,Chinese,0,1996,01/01/1996 00:00,,,Xiao Li (小莉),简爱 / Jianai / Jane Eyre,Huashan Wenyi Press,,,,,,,,
48,26.85423236,100.2352203,Lijiang,Lijiang,Lijiang,China,Chinese,0,1997,01/01/1997 00:00,,47,Jianhua Hu (胡建华),简爱 / Jianai / Jane Eyre,Lijiang Press,1,NA,,,,,NA,
,23.003061,120.217828,Tainan,Tainan,Tainan,Taiwan,Chinese,0,1997,01/01/1997 00:00,01/01/1997,,Shuping Xu (徐淑萍),简爱 / Jianai / Jane Eyre,Tainan Hanfeng Press,,,,,,,,
,39.9311509,116.4508123,Beijing,Beijing,Beijing,China,Chinese,0,1997,01/01/1997 00:00,,,Xiaohong Yang (杨晓红),简爱 / Jianai / Jane Eyre,Jiuzhou Tushu Press,,,,,,,,
,32.07305852,118.7694646,Nanjing,Nanjing,Nanjing,China,Chinese,0,1998,01/01/1998 00:00,,,Ailing Wu (吴艾玲) (译注),简爱 / Jianai / Jane Eyre,Jiangsu Jiaoyu Press,,,,,,,,
,42.90059719,129.4999583,Yanbian,Yanbian,Yanbian,China,Chinese,0,1999,01/01/1999 00:00,,,He Wu (武合),简爱 / Jianai / Jane Eyre,Yanbian Renmin Press,,,,,,,,
,39.9311509,116.4508123,Beijing,Beijing,Beijing,China,Chinese,0,1999,01/01/1999 00:00,,,Shibi Yang (杨诗碧),简爱 / Jianai / Jane Eyre,China Xiju Press,,,,,,,,
,30.66010341,104.056107,Chengdu,Chengdu,Chengdu,China,Chinese,0,1999,01/01/1999 00:00,,,Suxian Wei (魏素先),简爱 / Jianai / Jane Eyre,Sichuan Renmin Press,,,,,,,,
,25.082902,121.546153,Taipei,Taipei,Taipei,Taiwan,Chinese,0,1999,01/01/1999 00:00,01/01/1999,,Wenqi Li (李文绮),简爱 / Jianai / Jane Eyre,Taipei Yuanzun Wenhua Press,,,,,Later republished in Hefei (2010_,,,
,39.9311509,116.4508123,Beijing,Beijing,Beijing,China,Chinese,0,1999,01/01/1999 00:00,,,Xiaowei Wang (王晓卫),简爱 / Jianai / Jane Eyre,Dazhong Wenyi Press,,,,,,,,
,25.082902,121.546153,Taipei,Taipei,Taipei,Taiwan,Chinese,0,1999,01/01/1999 00:00,01/01/1999,,Youling Huang (黄友玲),简爱 / Jianai / Jane Eyre,Taipei Xidai Press,,,,,,,,
,39.9311509,116.4508123,Beijing,Beijing,Beijing,China,Chinese,0,1999,01/01/1999 00:00,,,Zijian Han (韩子剑),简爱 / Jianai / Jane Eyre,China Xiju Press,,,,,,,,
,45.80995902,126.5249512,Harbin,Harbin,Harbin,China,Chinese,0,2000,01/01/2000 00:00,,,Lin Zi (林子),简爱 / Jianai / Jane Eyre,Harbin Publishing House,,,,,,,,
,23.003061,120.217828,Tainan,Tainan,Tainan,Taiwan,Chinese,0,2000,01/01/2000 00:00,01/01/2000,,Xinci Zhang (张心慈),简爱 / Jianai / Jane Eyre,Tainan Daxia Press,,,,,,,,
,42.90059719,129.4999583,Yanbian,Yanbian,Yanbian,China,Chinese,0,2000,01/01/2000 00:00,,,Yu Sun (孙宇),简爱 / Jianai / Jane Eyre,Yanbian Renmin Press,,,,,,,,
39,30.66010341,104.056107,Chengdu,Chengdu,Chengdu,China,Chinese,2011,2001,01/01/2001 00:00,,39,Daming Li (李大明) and Jing Li (李晶),简·爱 (缩写本) / Jian Ai (suoxieben) / Jane Eyre (Abridged Version),Sichuan Wenyi Chubanshe (四川文艺出版社),2,NA,http://book.kongfz.com/156492/879622674/ and for the 2011 reprint https://www.dropbox.com/home/Prismatic%20jane%20Eyre/3%20homework%202018-19/3%20Cover%20images/Chinese?preview=2011+Li+%26+Li.tiff,https://www.dropbox.com/home/Prismatic%20jane%20Eyre/3%20homework%202018-19/4%20Sound%20files%20of%20title%20and%20author/Chinese?preview=2011+Li+%26+Li.m4a,This abridged version was the basis for the 2011 translation into Tibetan printed together with the Chinese text. Source: researcher's copy (Ulrich Timme Kragh),Researcher's copy (Ulrich Timme Kragh),NA,
150,22.31521826,114.1573982,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Chinese,0,2001,01/01/2001 00:00,,150,Fei Gao,简爱 / Jianai / Jane Eyre,Wenhua Yishu Press,1,NA,,,,,NA,
34,39.9311509,116.4508123,Beijing,Beijing,Beijing,China,Chinese,0,2001,01/01/2001 00:00,,34,Jianghao Wu（吴江皓）and Fanhai Zeng（曾凡海）,简爱 / Jianai / Jane Eyre,Beijing Yanshan Press ,1,NA,,,,,NA,
,43.83563597,126.5401512,Jilin,Jilin,Jilin,China,Chinese,0,2001,01/01/2001 00:00,,,Xiaofeng Shen (沈小凤),简爱 / Jianai / Jane Eyre,Shidai Wenyi Press,,,,,,,,
,49.20790976,119.7441001,Hulun Buir,Hulun Buir,Hulun Buir,China,Chinese,0,2001,01/01/2001 00:00,,,Xiaojuan Dong (董晓娟),简爱 / Jianai / Jane Eyre,Neimenggu Wenhua Press,,,,,,,,
,49.20790976,119.7441001,Hulun Buir,Hulun Buir,Hulun Buir,China,Chinese,0,2001,01/01/2001 00:00,,,Xiaojuan Wang (王晓娟),简爱 / Jianai / Jane Eyre,Neimenggu Wenhua Press,,,,,,,,
,31.11786557,121.5053555,Shanghai,Shanghai,Shanghai,China,Chinese,0,2001,01/01/2001 00:00,,,Yixin Fan (樊一昕）,简爱 / Jianai / Jane Eyre,Shanghai Shijie Tushu Corporation,,,,,,,,
151,22.31521826,114.1573982,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Chinese,0,2002,01/01/2002 00:00,,151,Xijiang Fan,简爱 / Jianai / Jane Eyre,Wenhua Yishu Press,1,NA,,,,,NA,
,39.9311509,116.4508123,Beijing,Beijing,Beijing,China,Chinese,0,2002,01/01/2002 00:00,,,Zhaolin Song (宋兆霖),简爱 / Jianai / Jane Eyre,China Wenlian Press,,,,,Later republished in Taipei,,,
43,30.30111495,120.1721433,Hangzhou,Hangzhou,Hangzhou,China,Chinese,0,2003,01/01/2003 00:00,,41,"Jinghai Shi, Huiliang Liu and Wenwen Wang (史津海，刘微亮，王雯雯)",简爱 / Jianai / Jane Eyre,Zhejiang Wenyi Press,1,NA,,,,,NA,
,39.9311509,116.4508123,Beijing,Beijing,Beijing,China,Chinese,0,2003,01/01/2003 00:00,,,Li Ling (凌力) ,简爱 / Jianai / Jane Eyre,Huaxia Press (缩写本) ,,,,,Abridged,,,
,31.82543469,117.2158025,Hefei,Hefei,Hefei,China,Chinese,0,2003,01/01/2003 00:00,,,Na Li (李娜) and Xia Li (李霞),简爱 / Jianai / Jane Eyre,Anhui Renmin Press,,,,,,,,
46,31.82543469,117.2158025,Hefei,Hefei,Hefei,China,Chinese,0,2003,01/01/2003 00:00,,45,Shen Guo (郭深) and Zhen Liu (刘珍),简爱 / Jianai / Jane Eyre,Anhui Wenyi Press,1,NA,,,,,NA,
,39.9311509,116.4508123,Beijing,Beijing,Beijing,China,Chinese,0,2004,01/01/2004 00:00,,,Chunfang Yue (岳春芳),简爱 / Jianai / Jane Eyre, Hangkong Gongye Press (改编版),,,,,,,,
,43.83563597,126.5401512,Jilin,Jilin,Jilin,China,Chinese,0,2004,01/01/2004 00:00,,,Ping Zhou (周萍),简爱 / Jianai / Jane Eyre,Shidai Wenyi Press,,,,,,,,
,39.9311509,116.4508123,Beijing,Beijing,Beijing,China,Chinese,0,2005,01/01/2005 00:00,,,Chengwu Zhang (张成武),简爱 / Jianai / Jane Eyre,Zhongyang Bianyi Press,,,,,,,,
,39.9311509,116.4508123,Beijing,Beijing,Beijing,China,Chinese,2012,2005,01/01/2005 00:00,,,Guangjia Fu (傅光甲),简爱 / Jianai / Jane Eyre,China Shuji Press,,,,,The 2012 edition is with China Zhigong Press,,,
,39.9311509,116.4508123,Beijing,Beijing,Beijing,China,Chinese,0,2005,01/01/2005 00:00,,,Hui Chen (陈辉),简爱 / Jianai / Jane Eyre,Zhongyang Bianyi Press,,,,,,,,
,39.9311509,116.4508123,Beijing,Beijing,Beijing,China,Chinese,0,2005,01/01/2005 00:00,,,Jialin Zhang (张家林) ,简爱 / Jianai / Jane Eyre,Renmin Ribao Press,,,,,,,,
,25.082902,121.546153,Taipei,Taipei,Taipei,Taiwan,Chinese,2007,2005,01/01/2005 00:00,01/01/2005,,Zhaolin Song (宋兆霖),简爱 / Jianai / Jane Eyre,Taipei Shangzhou Press,NA,,,,First Taipei edition of the translation originally published in Beijing (2002),,,
,23.09366697,113.267446,Guangzhou,Guangzhou,Guangzhou,China,Chinese,0,2006,01/01/2006 00:00,,,Xiongfei Li (李雄飞),简爱 / Jianai / Jane Eyre,Guangzhou Press,,,,,,,,
,39.9311509,116.4508123,Beijing,Beijing,Beijing,China,Chinese,0,2006,01/01/2006 00:00,,,Yongtao Zhao (赵永涛),简爱 / Jianai / Jane Eyre,Guangming Daily Press,,,,,,,,
,40.84731204,111.7439918,Hohhot,Hohhot,Hohhot,China,Chinese,2007,2006,01/01/2006 00:00,,,Yuanshang Jin (金元尚),简爱 / Jianai / Jane Eyre,Neimenggu Renmin Press,,,,,,,,
,39.29634888,117.355759,Tianjin,Tianjin,Tianjin,China,Chinese,0,2007,01/01/2007 00:00,,,Baoying Tian (田宝英),简爱 / Jianai / Jane Eyre,Tianjin Keji Fanyi Press,,,,,,,,
